¡marcarlo!,Lo que se dice a la persona con la pizarra para que chasquee los palos juntos.
Re-release,"El relanzamiento o retransmisión de una obra por el distribuidor original, estudio, liberador o emisor original."
Reaction Shot,"Una toma rápida que registra la respuesta de un personaje o grupo a otro personaje o alguna acción o evento en pantalla, a menudo acompañada de una toma de punto de vista, las tomas de reacción suelen ser desvíos."
Realismo,"Filmar de manera que se muestre la realidad fuera de la cámara en un estilo neutral con la menor distorsión e interferencia posible, el realismo se logra con tomas largas e ininterrumpidas, tomas de enfoque profundo y otras técnicas cinematográficas, contraste con expresionismo, similar a la 'realidad' de los docudramas."
Rebobina,"Un dispositivo simple para enrollar película, que consiste en una manivela y un eje para montar una o más bobinas, que típicamente se encuentra montado a ambos lados de una mesa de edición."
Recortes,"Las tomas de recorte son tomas de unos pocos fotogramas, generalmente un pie o menos. Para evitar que se pierdan, generalmente se almacenan por separado de los descartes más largos, ya sea en su propia caja de bóveda o en un libro de recortes."
Red Herring,"Una instancia de prefiguración que se planta deliberadamente para hacer que los espectadores sospechen un resultado, pero se pretende engañar al público: ocurre lo contrario y la pista falsa es irrelevante, a menudo se hace por humor, ironía u otras razones temáticas, contraste con mcguffin."
Redlighted,"Se refiere a un proyecto de película que estaba en producción, pero perdió su respaldo financiero, lo que resultó en un abandono prematuro por parte del estudio, también conocido como una película en proceso de reestructuración."
Reel (or Released),Se refiere a la primera distribución y exhibición pública general de una película para el público en los cines.
Release (o Released),Se refiere a la primera distribución y exhibición pública general de una película para el público en los cines.
Relleno (o Relleno De Sonido),"El relleno es película de desecho, utilizada principalmente para mantener una pista de sonido con la misma duración que la imagen, incluso si hay silencio. Cuando se usa de esta manera, también se puede llamar relleno de sonido. El relleno suele ser una copia con la emulsión raspada en el centro a lo largo de todo, quizás para evitar la piratería, pero también útil en que una marca puede ser vista en ambos lados a través de este amplio rasguño."
Remake,"Se refiere a una producción posterior (de una película anterior), con diferentes créditos, guion y elenco, una versión renovada, segunda versión de la narrativa y el tema de una película, los remakes han sido comunes a lo largo de toda la historia del cine."
Rentals,"Se refiere a esa parte de los ingresos de la película que va a los distribuidores de películas, también se refiere a los alquileres de videocasetes (o dvd)."
Reshoot Contingency,"Se refiere a los fondos mantenidos o guardados por un productor en caso de que se requieran tomas suplementarias (reshoots), que a menudo ocurren después de proyecciones de prueba o decisiones tomadas por ejecutivos de estudio."
Resolución,"El resultado, o el ""desenlace"" de la tensión en las escenas después del clímax de una película, se refiere a cómo resultaron las cosas para todos los personajes, algunas películas terminan abruptamente sin una escena que siga al clímax, también conocido como desenlace."
Resplandor,"Tiene dos significados: 1. Cuando se utiliza película en un carrete de luz diurna, el patrón errático de luz cruda que lava el principio y el final del rollo se conoce como ""los resplandores"". 2. Un resplandor del otro tipo es un resplandor de lente. Se produce cuando la luz golpea la lente y o bien causa que toda la imagen esté empañada en apariencia, o que aparezca una pequeña fila de polígonos (la silueta del iris) a partir de la luz que golpea las superficies de los muchos elementos en la lente. Se resuelve sombreando la lente."
Retrospective,"Por lo general, un homenaje, exhibición o 'vistazo' al trabajo de una estrella de cine, artista o director durante un período de años con una compilación o montaje completo de clips o extractos de películas, también conocido como retro, también, en términos de un guion, una película en la que casi toda la historia está mirando hacia atrás en el tiempo a eventos que ya han tenido lugar, generalmente lograda mediante flashbacks."
Revelado Por Arrastre,"Un tipo especial de procesamiento donde la película se desarrolla durante menos tiempo de lo normal, generalmente para compensar una sobreexposición prevista."
Revelado Por Empuje,"Un tipo especial de procesamiento donde la película se desarrolla durante más tiempo de lo normal, generalmente para compensar una subexposición prevista. Cabe señalar que solo se pueden empujar rollos completos, no escenas individuales. Empujar la película agregará algo de contraste y granulosidad."
Reverse (angle) Shot,"Un ángulo básico de la cámara compuesto por una toma fotografiada desde el lado opuesto (o inverso) de un sujeto para proporcionar una perspectiva diferente o un ángulo diferente a la toma anterior, en una escena de diálogo entre personajes, una toma del segundo participante se compone comúnmente como una toma sobre el hombro, a veces conocido como toma de ángulo de 180 grados o cambio de perspectiva, el patrón alternante entre los puntos de vista de dos personajes se conoce como toma/reverse shot."
Reverse Motion,"Se refiere a un efecto de cámara trucada, creado al hacer correr la película hacia atrás en la cámara o durante la impresión óptica, también conocido como acción inversa."
Revestimiento Total,"El revestimiento total es mag stock con una capa de óxido que cubre completamente un lado, a diferencia de la raya. Todo el mag de 16 mm es de revestimiento total. El de 35 mm está disponible en revestimiento total y raya. La diferencia en 35 mm es que el revestimiento total se puede utilizar para grabar varias pistas, y normalmente se utiliza para el master de mezcla. El revestimiento total también es más caro que la raya."
Revisionistic,"Se refiere a películas que presentan un estereotipo de género aparente y luego lo subvierten, revisan o desafían, también conocido como deconstrucción."
Revista,"Un accesorio de una cámara con una o dos cámaras herméticas que contienen 400 o 1,000 pies de película. Una cámara típicamente tendrá dos o tres revistas que se pueden cargar por adelantado."
Revival House,"Cines o teatros de exhibición que se dedican a enfatizar o especializarse en un solo tipo de película, como películas extranjeras, películas antiguas, películas mudas, clásicos, películas raramente proyectadas, etc."
